               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1136,            0.094223,            0.092155,           0.0024946,            0.024304,           0.0015078,           0.0005467,            0.093279,            0.089213,            0.087556,            0.070811,           0.0032432,           0.0032432
                   1,            0.090324,            0.091568,            0.087427,            0.012257,            0.062943,           0.0051118,           0.0020077,            0.075168,            0.069279,            0.082037,            0.040752,           0.0065174,           0.0065174
                   2,            0.085474,            0.087291,            0.084548,            0.017253,            0.058823,           0.0088981,            0.003225,            0.074727,            0.069397,             0.08025,            0.010632,           0.0097315,           0.0097315
                   3,            0.078786,            0.091202,            0.083278,           0.0068366,            0.066241,           0.0085305,           0.0033036,            0.075934,            0.069132,            0.078841,             0.00973,             0.00973,             0.00973
                   4,            0.072853,            0.086911,            0.082086,            0.013709,             0.10572,            0.016224,            0.006186,            0.061125,            0.061915,            0.078328,             0.00973,             0.00973,             0.00973
                   5,            0.067761,            0.088579,            0.081807,             0.40508,            0.087713,            0.022333,           0.0087359,            0.053791,            0.069714,            0.077678,             0.00964,             0.00964,             0.00964
                   6,            0.065325,            0.081138,            0.081246,             0.31179,             0.11807,            0.032779,            0.016158,            0.051777,            0.064048,            0.076634,             0.00955,             0.00955,             0.00955
                   7,            0.062975,            0.084328,            0.080388,            0.098414,             0.16009,            0.047106,             0.02475,            0.048756,            0.060059,            0.076102,             0.00946,             0.00946,             0.00946
                   8,            0.061123,            0.084316,            0.079072,             0.36839,               0.125,            0.037954,            0.018039,            0.051139,            0.063556,            0.074677,             0.00937,             0.00937,             0.00937
                   9,             0.05922,            0.083944,            0.077957,             0.31518,             0.18526,            0.061244,            0.027781,            0.049244,            0.060898,            0.073813,             0.00928,             0.00928,             0.00928
                  10,            0.058955,            0.086114,            0.076802,             0.30015,             0.17421,             0.05808,            0.028836,            0.050471,            0.060432,             0.07239,             0.00919,             0.00919,             0.00919
                  11,            0.058017,            0.082341,            0.075698,             0.27124,             0.18738,            0.071282,            0.031494,            0.048682,             0.06109,            0.071553,              0.0091,              0.0091,              0.0091
                  12,            0.056658,            0.084714,            0.074736,             0.44186,             0.19121,            0.090208,             0.04543,            0.043861,             0.05984,            0.070017,             0.00901,             0.00901,             0.00901
